gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
1621-1967,partial,https://lpl.qq.com/es/stats.shtml?bmid=1621,LSPL,2017,Spring,0,2017-03-29 09:00:00,3,7.05,1,Blue,top,Lies,oe:player:77c658a4a2e9f4096755a823847c19e,DAN Gaming,oe:team:c52f1f25b322f34e191a3d0edb5d88d,Nautilus,,,,,,,,,,,3297,1,2,6,14,25,21,,,,,,,,,0.455,0.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.0,,,,,7.0792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621-1967,partial,https://lpl.qq.com/es/stats.shtml?bmid=1621,LSPL,2017,Spring,0,2017-03-29 09:00:00,3,7.05,2,Blue,jng,Karin,oe:player:5b591ed6a915f05e3629a1b5156ad8e,DAN Gaming,oe:team:c52f1f25b322f34e191a3d0edb5d88d,Graves,,,,,,,,,,,3297,1,3,3,11,25,21,,,,,,,,,0.455,0.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.0,,,,,5.7325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621-1967,partial,https://lpl.qq.com/es/stats.shtml?bmid=1621,LSPL,2017,Spring,0,2017-03-29 09:00:00,3,7.05,3,Blue,mid,Ggoong,oe:player:d55620130ce20b8cb9a504b6b16f7a1,DAN Gaming,oe:team:c52f1f25b322f34e191a3d0edb5d88d,Ahri,,,,,,,,,,,3297,1,14,2,7,25,21,,,,,,,,,0.455,0.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.0,,,,,7.8799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621-1967,partial,https://lpl.qq.com/es/stats.shtml?bmid=1621,LSPL,2017,Spring,0,2017-03-29 09:00:00,3,7.05,4,Blue,bot,QiuQiu,oe:player:00e1677908b0a579a5870fbad836dcc,DAN Gaming,oe:team:c52f1f25b322f34e191a3d0edb5d88d,Varus,,,,,,,,,,,3297,1,4,3,17,25,21,,,,,,,,,0.455,0.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.0,,,,,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621-1967,partial,https://lpl.qq.com/es/stats.shtml?bmid=1621,LSPL,2017,Spring,0,2017-03-29 09:00:00,3,7.05,5,Blue,sup,Cat,oe:player:7c67be1b944646ffc400b17e7f82a1e,DAN Gaming,oe:team:c52f1f25b322f34e191a3d0edb5d88d,Zyra,,,,,,,,,,,3297,1,2,7,19,25,21,,,,,,,,,0.455,0.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,1.0919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621-1967,partial,https://lpl.qq.com/es/stats.shtml?bmid=1621,LSPL,2017,Spring,0,2017-03-29 09:00:00,3,7.05,6,Red,top,Zoom,oe:player:4252b72e6ebcd4d4b4c2e46a786f03d,DS Gaming,oe:team:b5c576b8e06c20217de8792be32aa47,Gragas,,,,,,,,,,,3297,0,2,3,9,21,25,,,,,,,,,0.3822,0.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.0,,,,,6.3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621-1967,partial,https://lpl.qq.com/es/stats.shtml?bmid=1621,LSPL,2017,Spring,0,2017-03-29 09:00:00,3,7.05,7,Red,jng,xiaopeng,oe:player:6153202dbcbf80f722f7449f61ce2c5,DS Gaming,oe:team:b5c576b8e06c20217de8792be32aa47,Kindred,,,,,,,,,,,3297,0,3,8,10,21,25,,,,,,,,,0.3822,0.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,,,,,5.2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621-1967,partial,https://lpl.qq.com/es/stats.shtml?bmid=1621,LSPL,2017,Spring,0,2017-03-29 09:00:00,3,7.05,8,Red,mid,cyeol,oe:player:9cfd1934f9883bacceb945d79bddecd,DS Gaming,oe:team:b5c576b8e06c20217de8792be32aa47,Orianna,,,,,,,,,,,3297,0,5,3,11,21,25,,,,,,,,,0.3822,0.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.0,,,,,8.8626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621-1967,partial,https://lpl.qq.com/es/stats.shtml?bmid=1621,LSPL,2017,Spring,0,2017-03-29 09:00:00,3,7.05,9,Red,bot,Police,oe:player:e7dd312beb9106b0178bb1efb4a6c28,DS Gaming,oe:team:b5c576b8e06c20217de8792be32aa47,Ashe,,,,,,,,,,,3297,0,10,4,5,21,25,,,,,,,,,0.3822,0.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.0,,,,,8.6988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621-1967,partial,https://lpl.qq.com/es/stats.shtml?bmid=1621,LSPL,2017,Spring,0,2017-03-29 09:00:00,3,7.05,10,Red,sup,Xintai,oe:player:3f8edf0478b9bcbdaad6290e156d6fd,DS Gaming,oe:team:b5c576b8e06c20217de8792be32aa47,Malzahar,,,,,,,,,,,3297,0,1,7,12,21,25,,,,,,,,,0.3822,0.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,1.0191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
