gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
1732-1520,partial,https://lpl.qq.com/es/stats.shtml?bmid=1732,LSPL,2017,Spring,0,2017-01-17 05:19:17,1,,1,Blue,top,SoaR,oe:player:93f82d825f42b45556c854fdfcef571,IN Gaming,oe:team:6c8bf5b93fd189943d784b55bb71b61,Fiora,Caitlyn,Malzahar,Syndra,Jayce,,,,,,,1768,0,0,4,0,2,11,,,0.0,0.0,,0.0,,,0.0679,0.4412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6721.0,228.0882,0.200813,549.5701,,12.0,0.4072,1.0,0.0339,2.0,,,9552.0,5889.0,199.8529,0.221817,,,,232.0,231.0,1.0,0.0,1.0,7.8733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732-1520,partial,https://lpl.qq.com/es/stats.shtml?bmid=1732,LSPL,2017,Spring,0,2017-01-17 05:19:17,1,,2,Blue,jng,tbq,oe:player:834e9c779ea93625da0dfc53df5f228,IN Gaming,oe:team:6c8bf5b93fd189943d784b55bb71b61,Rek'Sai,Caitlyn,Malzahar,Syndra,Jayce,,,,,,,1768,0,1,3,1,2,11,,,0.0,0.0,,0.0,,,0.0679,0.4412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5877.0,199.4457,0.175595,978.3258,,28.0,0.9502,17.0,0.5769,7.0,,,8976.0,5313.0,180.3054,0.200121,,,,143.0,28.0,115.0,69.0,46.0,4.8529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732-1520,partial,https://lpl.qq.com/es/stats.shtml?bmid=1732,LSPL,2017,Spring,0,2017-01-17 05:19:17,1,,3,Blue,mid,BaeMe,oe:player:7eaba623487d46d2c22fe07755332c9,IN Gaming,oe:team:6c8bf5b93fd189943d784b55bb71b61,Ryze,Caitlyn,Malzahar,Syndra,Jayce,,,,,,,1768,0,1,1,0,2,11,,,0.0,0.0,,0.0,,,0.0679,0.4412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8655.0,293.7217,0.258598,389.6946,,9.0,0.3054,8.0,0.2715,5.0,,,10245.0,6582.0,223.371,0.247921,,,,275.0,264.0,11.0,4.0,7.0,9.3326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732-1520,partial,https://lpl.qq.com/es/stats.shtml?bmid=1732,LSPL,2017,Spring,0,2017-01-17 05:19:17,1,,4,Blue,bot,Gao,oe:player:ffb5e09af5fe51d3ce2a10206f5d7a9,IN Gaming,oe:team:6c8bf5b93fd189943d784b55bb71b61,Varus,Caitlyn,Malzahar,Syndra,Jayce,,,,,,,1768,0,0,2,2,2,11,,,0.0,0.0,,0.0,,,0.0679,0.4412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7232.0,245.4299,0.216081,315.3733,,11.0,0.3733,10.0,0.3394,4.0,,,9627.0,5964.0,202.3982,0.224642,,,,253.0,244.0,9.0,9.0,0.0,8.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732-1520,partial,https://lpl.qq.com/es/stats.shtml?bmid=1732,LSPL,2017,Spring,0,2017-01-17 05:19:17,1,,5,Blue,sup,Xfq,oe:player:22263a33de4ca6c1ca6c08de3de913e,IN Gaming,oe:team:6c8bf5b93fd189943d784b55bb71b61,Karma,Caitlyn,Malzahar,Syndra,Jayce,,,,,,,1768,0,0,1,2,2,11,,,0.0,0.0,,0.0,,,0.0679,0.4412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4984.0,169.1403,0.148914,259.7511,,33.0,1.1199,11.0,0.3733,6.0,,,6464.0,2801.0,95.0566,0.105499,,,,18.0,18.0,0.0,0.0,0.0,0.6109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732-1520,partial,https://lpl.qq.com/es/stats.shtml?bmid=1732,LSPL,2017,Spring,0,2017-01-17 05:19:17,1,,6,Red,top,Clowz,oe:player:ffa517265932cce4cb23a0a9100b52b,Young Miracles,oe:team:1486bbe432b1153d9a83ff6e75d6c90,Maokai,LeBlanc,Lee Sin,Rengar,Zyra,Camille,,,,,,1768,1,5,0,5,11,2,,,0.0,0.0,,0.0,,,0.3733,0.4412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9959.0,337.9751,0.215834,565.6222,,15.0,0.509,3.0,0.1018,3.0,,,13390.0,9727.0,330.1018,0.250878,,,,259.0,259.0,0.0,0.0,0.0,8.7896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732-1520,partial,https://lpl.qq.com/es/stats.shtml?bmid=1732,LSPL,2017,Spring,0,2017-01-17 05:19:17,1,,7,Red,jng,Ning,oe:player:9b22cace0315e520c50f1b8f8ac434c,Young Miracles,oe:team:1486bbe432b1153d9a83ff6e75d6c90,Elise,LeBlanc,Lee Sin,Rengar,Zyra,Camille,,,,,,1768,1,1,0,6,11,2,,,0.0,0.0,,1.0,,,0.3733,0.4412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8717.0,295.8258,0.188917,543.0882,,19.0,0.6448,11.0,0.3733,6.0,,,10857.0,7194.0,244.1403,0.185546,,,,111.0,25.0,86.0,63.0,23.0,3.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732-1520,partial,https://lpl.qq.com/es/stats.shtml?bmid=1732,LSPL,2017,Spring,0,2017-01-17 05:19:17,1,,8,Red,mid,Viper,oe:player:15b314a12fd4565bc9129fdc95fa842,Young Miracles,oe:team:1486bbe432b1153d9a83ff6e75d6c90,Cassiopeia,LeBlanc,Lee Sin,Rengar,Zyra,Camille,,,,,,1768,1,1,1,5,11,2,,,0.0,0.0,,0.0,,,0.3733,0.4412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13487.0,457.7036,0.292293,359.2534,,16.0,0.543,5.0,0.1697,5.0,,,12371.0,8708.0,295.5204,0.224596,,,,273.0,251.0,22.0,7.0,15.0,9.2647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732-1520,partial,https://lpl.qq.com/es/stats.shtml?bmid=1732,LSPL,2017,Spring,0,2017-01-17 05:19:17,1,,9,Red,bot,Bvoy,oe:player:494fc60dffbb5da1caa2226baef0ec7,Young Miracles,oe:team:1486bbe432b1153d9a83ff6e75d6c90,Jhin,LeBlanc,Lee Sin,Rengar,Zyra,Camille,,,,,,1768,1,4,1,2,11,2,,,0.0,0.0,,0.0,,,0.3733,0.4412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11845.0,401.9796,0.256708,272.2738,,16.0,0.543,5.0,0.1697,5.0,,,12473.0,8810.0,298.9819,0.227227,,,,244.0,237.0,7.0,5.0,2.0,8.2805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732-1520,partial,https://lpl.qq.com/es/stats.shtml?bmid=1732,LSPL,2017,Spring,0,2017-01-17 05:19:17,1,,10,Red,sup,Killua,oe:player:09196919e3f9f97afcccaa43410a669,Young Miracles,oe:team:1486bbe432b1153d9a83ff6e75d6c90,Nami,LeBlanc,Lee Sin,Rengar,Zyra,Camille,,,,,,1768,1,0,0,7,11,2,,,0.0,0.0,,0.0,,,0.3733,0.4412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134.0,72.4208,0.0462485,205.0792,,39.0,1.3235,13.0,0.4412,9.0,,,7996.0,4333.0,147.0475,0.111754,,,,14.0,14.0,0.0,0.0,0.0,0.4751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
