gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01/1325195,partial,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1325195?gameHash=148629fab8f2b383,LCK,2020,Spring,0,2020-03-26 09:05:16,2,10.05,1,Blue,top,ikssu,oe:player:97e9a3eb84113179c74c87e035d52c8,SeolHaeOne Prince,oe:team:c228d8939c704a1d5ac0e3d49477cc4,Ornn,Sett,LeBlanc,Kalista,Braum,Renekton,,,,,,1867,0,4,4,6,13,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4178,1.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11322.0,363.8565,0.194352,755.1259,724.5635,15.0,0.4821,1.0,0.0321,6.0,20.0,0.6427,9722,5638.0,181.1891,0.169278,9670.0,,,161.0,157.0,4.0,1.0,0.0,5.1741,3219.0,4226.0,65.0,3279.0,4238.0,45.0,-60.0,-12.0,20.0,1.0,1.0,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01/1325195,partial,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1325195?gameHash=148629fab8f2b383,LCK,2020,Spring,0,2020-03-26 09:05:16,2,10.05,2,Blue,jng,Flawless,oe:player:f539873281c1c0bc463c393e24c583e,SeolHaeOne Prince,oe:team:c228d8939c704a1d5ac0e3d49477cc4,Elise,Sett,LeBlanc,Kalista,Braum,Renekton,,,,,,1867,0,1,5,8,13,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4178,1.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11445.0,367.8093,0.196464,673.369,250.541,42.0,1.3498,22.0,0.707,13.0,85.0,2.7317,9343,5259.0,169.0091,0.157898,8825.0,,,154.0,28.0,126.0,74.0,5.0,4.9491,2871.0,2955.0,50.0,3279.0,3408.0,56.0,-408.0,-453.0,-6.0,0.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01/1325195,partial,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1325195?gameHash=148629fab8f2b383,LCK,2020,Spring,0,2020-03-26 09:05:16,2,10.05,3,Blue,mid,Cover,oe:player:c795dfff10a7c952f4c5438951e9ece,SeolHaeOne Prince,oe:team:c228d8939c704a1d5ac0e3d49477cc4,Irelia,Sett,LeBlanc,Kalista,Braum,Renekton,,,,,,1867,0,1,5,8,13,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4178,1.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,11924.0,383.203,0.204686,615.1687,434.2046,8.0,0.2571,5.0,0.1607,4.0,24.0,0.7713,12393,8309.0,267.0273,0.249477,12250.0,,,281.0,258.0,23.0,12.0,7.0,9.0305,3660.0,4450.0,86.0,3635.0,4696.0,98.0,25.0,-246.0,-12.0,1.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01/1325195,partial,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1325195?gameHash=148629fab8f2b383,LCK,2020,Spring,0,2020-03-26 09:05:16,2,10.05,4,Blue,bot,HyBriD,oe:player:d4236a5c6d033d0388ab042acd884f1,SeolHaeOne Prince,oe:team:c228d8939c704a1d5ac0e3d49477cc4,Kai'Sa,Sett,LeBlanc,Kalista,Braum,Renekton,,,,,,1867,0,7,3,3,13,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4178,1.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20288.0,651.9979,0.348262,457.9218,230.5517,9.0,0.2892,10.0,0.3214,3.0,32.0,1.0284,15589,11505.0,369.7375,0.345439,14425.0,,,320.0,285.0,35.0,31.0,0.0,10.2839,3448.0,3570.0,94.0,3263.0,3341.0,91.0,185.0,229.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01/1325195,partial,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1325195?gameHash=148629fab8f2b383,LCK,2020,Spring,0,2020-03-26 09:05:16,2,10.05,5,Blue,sup,Secret,oe:player:1e6947ac7fb3a9529a9726eb692c8cc,SeolHaeOne Prince,oe:team:c228d8939c704a1d5ac0e3d49477cc4,Nautilus,Sett,LeBlanc,Kalista,Braum,Renekton,,,,,,1867,0,0,6,8,13,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4178,1.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3276.0,105.2812,0.0562355,602.0246,810.4017,52.0,1.6711,16.0,0.5142,14.0,84.0,2.6995,6679,2595.0,83.3958,0.0779088,6350.0,,,37.0,37.0,0.0,0.0,0.0,1.1891,2187.0,2318.0,12.0,2093.0,2645.0,16.0,94.0,-327.0,-4.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01/1325195,partial,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1325195?gameHash=148629fab8f2b383,LCK,2020,Spring,0,2020-03-26 09:05:16,2,10.05,6,Red,top,Canna,oe:player:7577c239c73fa5f3011cd7b5503e75e,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Sylas,Aphelios,Senna,Varus,Kindred,Qiyana,,,,,,1867,1,8,4,6,23,13,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7392,1.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,17288.0,555.5865,0.232541,860.2785,665.7847,16.0,0.5142,8.0,0.2571,6.0,34.0,1.0927,12206,8122.0,261.0177,0.200405,11500.0,,,158.0,150.0,8.0,4.0,4.0,5.0777,3279.0,4238.0,45.0,3219.0,4226.0,65.0,60.0,12.0,-20.0,2.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01/1325195,partial,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1325195?gameHash=148629fab8f2b383,LCK,2020,Spring,0,2020-03-26 09:05:16,2,10.05,7,Red,jng,Ellim,oe:player:579ae2e0addc18db74179b2a3d33294,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Trundle,Aphelios,Senna,Varus,Kindred,Qiyana,,,,,,1867,1,2,3,14,23,13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7392,1.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6242.0,200.5999,0.083961,925.0991,896.3364,14.0,0.4499,11.0,0.3535,13.0,41.0,1.3176,10313,6229.0,200.1821,0.153695,9425.0,,,131.0,22.0,109.0,77.0,7.0,4.21,3279.0,3408.0,56.0,2871.0,2955.0,50.0,408.0,453.0,6.0,1.0,1.0,1.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01/1325195,partial,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1325195?gameHash=148629fab8f2b383,LCK,2020,Spring,0,2020-03-26 09:05:16,2,10.05,8,Red,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Azir,Aphelios,Senna,Varus,Kindred,Qiyana,,,,,,1867,1,5,2,11,23,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7392,1.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,29950.0,962.5067,0.402857,354.376,273.6154,12.0,0.3856,7.0,0.225,2.0,27.0,0.8677,15089,11005.0,353.669,0.271543,13850.0,,,287.0,239.0,48.0,27.0,7.0,9.2234,3635.0,4696.0,98.0,3660.0,4450.0,86.0,-25.0,246.0,12.0,0.0,0.0,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01/1325195,partial,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1325195?gameHash=148629fab8f2b383,LCK,2020,Spring,0,2020-03-26 09:05:16,2,10.05,9,Red,bot,Teddy,oe:player:2b5fa564a1259b97bc238fbfa719b07,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Miss Fortune,Aphelios,Senna,Varus,Kindred,Qiyana,,,,,,1867,1,8,1,6,23,13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7392,1.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,19315.0,620.7284,0.259806,163.5137,319.925,13.0,0.4178,10.0,0.3214,3.0,43.0,1.3819,15346,11262.0,361.9282,0.277885,13475.0,,,319.0,283.0,36.0,21.0,4.0,10.2517,3263.0,3341.0,91.0,3448.0,3570.0,94.0,-185.0,-229.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPORTSTMNT01/1325195,partial,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1325195?gameHash=148629fab8f2b383,LCK,2020,Spring,0,2020-03-26 09:05:16,2,10.05,10,Red,sup,Effort,oe:player:035b9ae578574cdf728d8760483d804,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Taric,Aphelios,Senna,Varus,Kindred,Qiyana,,,,,,1867,1,0,3,15,23,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7392,1.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1549.0,49.7804,0.0208356,417.3648,397.4719,54.0,1.7354,13.0,0.4178,16.0,81.0,2.6031,7994,3910.0,125.6561,0.0964729,7750.0,,,37.0,37.0,0.0,0.0,0.0,1.1891,2093.0,2645.0,16.0,2187.0,2318.0,12.0,-94.0,327.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
