gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
11363-11363_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11363,WLDs,2024,,0,2024-08-31 08:58:51,1,14.15,1,Blue,top,Breathe,oe:player:0d9b0a3b3a93a8f759c9d8ac8eef97c,Weibo Gaming,oe:team:606c6ac695907af3823ee6405c58ff1,K'Sante,Ivern,Ziggs,Yone,Braum,Maokai,,,,,,1673,0,0,3,3,7,19,,,,,,0.0,,,0.251,0.9325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12989,465.8338,0.224932,891.9307,,7,0.251,5,0.1793,2,23,0.8249,9109,5420,194.3814,0.189511,8695,,,232.0,232.0,0,0.0,0.0,8.3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11363-11363_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11363,WLDs,2024,,0,2024-08-31 08:58:51,1,14.15,2,Blue,jng,Tarzan,oe:player:62922f2b370657a966de4d84f5586bf,Weibo Gaming,oe:team:606c6ac695907af3823ee6405c58ff1,Zyra,Ivern,Ziggs,Yone,Braum,Maokai,,,,,,1673,0,3,6,1,7,19,,,,,,1.0,,,0.251,0.9325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14777,529.9582,0.255885,582.0323,,14,0.5021,7,0.251,9,45,1.6139,9665,5976,214.3216,0.20895,9010,,,191.0,17.0,174,131.0,5.0,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11363-11363_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11363,WLDs,2024,,0,2024-08-31 08:58:51,1,14.15,3,Blue,mid,Xiaohu,oe:player:beea9fe15bff6a7ab0b3913d3d5fde6,Weibo Gaming,oe:team:606c6ac695907af3823ee6405c58ff1,Corki,Ivern,Ziggs,Yone,Braum,Maokai,,,,,,1673,0,2,5,3,7,19,,,,,,0.0,,,0.251,0.9325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15284,548.1411,0.264672,597.5613,,12,0.4304,5,0.1793,3,28,1.0042,11371,7682,275.5051,0.268596,11138,,,258.0,249.0,9,4.0,4.0,9.2528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11363-11363_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11363,WLDs,2024,,0,2024-08-31 08:58:51,1,14.15,4,Blue,bot,Light,oe:player:3c4d21c7addb20fea3fec30418ac3d3,Weibo Gaming,oe:team:606c6ac695907af3823ee6405c58ff1,Ezreal,Ivern,Ziggs,Yone,Braum,Maokai,,,,,,1673,0,1,2,1,7,19,,,,,,0.0,,,0.251,0.9325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10574,379.223,0.183103,411.8589,,8,0.2869,4,0.1435,0,18,0.6455,10820,7131,255.7442,0.249332,9138,,,261.0,261.0,0,0.0,0.0,9.3604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11363-11363_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11363,WLDs,2024,,0,2024-08-31 08:58:51,1,14.15,5,Blue,sup,Crisp,oe:player:6059545b206c4b230b97fd3651b473a,Weibo Gaming,oe:team:606c6ac695907af3823ee6405c58ff1,Poppy,Ivern,Ziggs,Yone,Braum,Maokai,,,,,,1673,0,1,3,3,7,19,,,,,,0.0,,,0.251,0.9325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4124,147.902,0.0714076,496.2821,,53,1.9008,11,0.3945,20,97,3.4788,6080,2391,85.7501,0.0836112,5845,,,31.0,31.0,0,0.0,0.0,1.1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11363-11363_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11363,WLDs,2024,,0,2024-08-31 08:58:51,1,14.15,6,Red,top,Zika,oe:player:65ed20b21e2993fb00dbd21a2fd991b,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Renekton,Lucian,Rumble,Miss Fortune,Leona,Alistar,,,,,,1673,1,3,0,6,19,7,,,,,,0.0,,,0.6814,0.9325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14750,528.9898,0.226884,1010.532,,16,0.5738,6,0.2152,6,38,1.3628,13715,10026,359.5696,0.243791,11169,,,308.0,294.0,14,4.0,4.0,11.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11363-11363_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11363,WLDs,2024,,0,2024-08-31 08:58:51,1,14.15,7,Red,jng,Weiwei,oe:player:57da8dfcfbdb4e5b019fe93003db1c4,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Brand,Lucian,Rumble,Miss Fortune,Leona,Alistar,,,,,,1673,1,3,3,9,19,7,,,,,,0.0,,,0.6814,0.9325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16140,578.8404,0.248268,852.9827,,12,0.4304,7,0.251,10,39,1.3987,10990,7301,261.841,0.177533,9430,,,185.0,14.0,171,136.0,0.0,6.6348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11363-11363_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11363,WLDs,2024,,0,2024-08-31 08:58:51,1,14.15,8,Red,mid,Scout,oe:player:71e79ef80600d398d90cfebe3b0b758,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Smolder,Lucian,Rumble,Miss Fortune,Leona,Alistar,,,,,,1673,1,11,3,4,19,7,,,,,,0.0,,,0.6814,0.9325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19305,692.3491,0.296946,581.6378,,11,0.3945,13,0.4662,3,41,1.4704,14885,11196,401.5302,0.272239,12077,,,268.0,256.0,12,0.0,5.0,9.6115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11363-11363_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11363,WLDs,2024,,0,2024-08-31 08:58:51,1,14.15,9,Red,bot,GALA,oe:player:867e8957fae1cb59f0808dbcc3aada2,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Ashe,Lucian,Rumble,Miss Fortune,Leona,Alistar,,,,,,1673,1,2,1,9,19,7,,,,,,0.0,,,0.6814,0.9325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12338,442.4866,0.18978,346.6228,,9,0.3228,7,0.251,1,36,1.2911,12563,8874,318.2546,0.21578,11500,,,290.0,290.0,0,0.0,0.0,10.4005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11363-11363_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=11363,WLDs,2024,,0,2024-08-31 08:58:51,1,14.15,10,Red,sup,Hang,oe:player:ab2455e33b8ddb6a9d2d41107a2ed4f,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,Rell,Lucian,Rumble,Miss Fortune,Leona,Alistar,,,,,,1673,1,0,0,12,19,7,,,,,,0.0,,,0.6814,0.9325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478,88.8703,0.0381219,408.2367,,56,2.0084,14,0.5021,15,111,3.9809,7417,3728,133.6999,0.0906568,6390,,,31.0,31.0,0,0.0,0.0,1.1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
