year,column
2014,gameid
2014,datacompleteness
2014,url
2014,league
2014,year
2014,playoffs
2014,date
2014,game
2014,participantid
2014,side
2014,position
2014,playername
2014,teamname
2014,champion
2014,gamelength
2014,result
2014,kills
2014,deaths
2014,assists
2014,teamkills
2014,teamdeaths
2014,doublekills
2014,triplekills
2014,quadrakills
2014,pentakills
2014,firstblood
2014,firstbloodkill
2014,firstbloodassist
2014,firstbloodvictim
2014,team kpm
2014,ckpm
2014,inhibitors
2014,opp_inhibitors
2014,damagetochampions
2014,dpm
2014,damageshare
2014,damagetakenperminute
2014,damagemitigatedperminute
2014,wardsplaced
2014,wpm
2014,wardskilled
2014,wcpm
2014,controlwardsbought
2014,visionscore
2014,vspm
2014,totalgold
2014,earnedgold
2014,earned gpm
2014,earnedgoldshare
2014,goldspent
2014,total cs
2014,minionkills
2014,monsterkills
2014,monsterkillsownjungle
2014,monsterkillsenemyjungle
2014,cspm
2014,goldat10
2014,xpat10
2014,csat10
2014,opp_goldat10
2014,opp_xpat10
2014,opp_csat10
2014,golddiffat10
2014,xpdiffat10
2014,csdiffat10
2014,killsat10
2014,assistsat10
2014,deathsat10
2014,opp_killsat10
2014,opp_assistsat10
2014,opp_deathsat10
2014,goldat15
2014,xpat15
2014,csat15
2014,opp_goldat15
2014,opp_xpat15
2014,opp_csat15
2014,golddiffat15
2014,xpdiffat15
2014,csdiffat15
2014,killsat15
2014,assistsat15
2014,deathsat15
2014,opp_killsat15
2014,opp_assistsat15
2014,opp_deathsat15
2014,goldat20
2014,xpat20
2014,csat20
2014,opp_goldat20
2014,opp_xpat20
2014,opp_csat20
2014,golddiffat20
2014,xpdiffat20
2014,csdiffat20
2014,killsat20
2014,assistsat20
2014,deathsat20
2014,opp_killsat20
2014,opp_assistsat20
2014,opp_deathsat20
2015,gameid
2015,datacompleteness
2015,league
2015,year
2015,playoffs
2015,date
2015,game
2015,patch
2015,participantid
2015,side
2015,position
2015,playername
2015,teamname
2015,champion
2015,gamelength
2015,result
2015,kills
2015,deaths
2015,assists
2015,teamkills
2015,teamdeaths
2015,doublekills
2015,triplekills
2015,quadrakills
2015,pentakills
2015,firstblood
2015,firstbloodkill
2015,firstbloodassist
2015,firstbloodvictim
2015,team kpm
2015,ckpm
2015,inhibitors
2015,opp_inhibitors
2015,damagetochampions
2015,dpm
2015,damageshare
2015,damagetakenperminute
2015,damagemitigatedperminute
2015,wardsplaced
2015,wpm
2015,wardskilled
2015,wcpm
2015,controlwardsbought
2015,visionscore
2015,vspm
2015,totalgold
2015,earnedgold
2015,earned gpm
2015,earnedgoldshare
2015,goldspent
2015,total cs
2015,minionkills
2015,monsterkills
2015,monsterkillsownjungle
2015,monsterkillsenemyjungle
2015,cspm
2015,goldat10
2015,xpat10
2015,csat10
2015,opp_goldat10
2015,opp_xpat10
2015,opp_csat10
2015,golddiffat10
2015,xpdiffat10
2015,csdiffat10
2015,killsat10
2015,assistsat10
2015,deathsat10
2015,opp_killsat10
2015,opp_assistsat10
2015,opp_deathsat10
2015,goldat15
2015,xpat15
2015,csat15
2015,opp_goldat15
2015,opp_xpat15
2015,opp_csat15
2015,golddiffat15
2015,xpdiffat15
2015,csdiffat15
2015,killsat15
2015,assistsat15
2015,deathsat15
2015,opp_killsat15
2015,opp_assistsat15
2015,opp_deathsat15
2015,goldat20
2015,xpat20
2015,csat20
2015,opp_goldat20
2015,opp_xpat20
2015,opp_csat20
2015,golddiffat20
2015,xpdiffat20
2015,csdiffat20
2015,killsat20
2015,assistsat20
2015,deathsat20
2015,opp_killsat20
2015,opp_assistsat20
2015,opp_deathsat20
2016,gameid
2016,datacompleteness
2016,url
2016,league
2016,year
2016,playoffs
2016,date
2016,game
2016,participantid
2016,side
2016,position
2016,teamname
2016,champion
2016,gamelength
2016,result
2016,kills
2016,deaths
2016,assists
2016,teamkills
2016,teamdeaths
2016,team kpm
2016,ckpm
2016,total cs
2016,cspm
2017,gameid
2017,datacompleteness
2017,url
2017,league
2017,year
2017,playoffs
2017,date
2017,game
2017,participantid
2017,side
2017,position
2017,teamname
2017,champion
2017,gamelength
2017,result
2017,kills
2017,deaths
2017,assists
2017,teamkills
2017,teamdeaths
2017,team kpm
2017,ckpm
2017,total cs
2017,cspm
2018,gameid
2018,datacompleteness
2018,league
2018,year
2018,playoffs
2018,date
2018,game
2018,patch
2018,participantid
2018,side
2018,position
2018,playername
2018,teamname
2018,champion
2018,gamelength
2018,result
2018,kills
2018,deaths
2018,assists
2018,teamkills
2018,teamdeaths
2018,team kpm
2018,ckpm
2018,total cs
2019,gameid
2019,datacompleteness
2019,league
2019,year
2019,playoffs
2019,date
2019,game
2019,patch
2019,participantid
2019,side
2019,position
2019,teamname
2019,champion
2019,gamelength
2019,result
2019,kills
2019,deaths
2019,assists
2019,teamkills
2019,teamdeaths
2019,team kpm
2019,ckpm
2019,total cs
2020,gameid
2020,datacompleteness
2020,league
2020,year
2020,playoffs
2020,date
2020,game
2020,patch
2020,participantid
2020,side
2020,position
2020,teamname
2020,champion
2020,gamelength
2020,result
2020,kills
2020,deaths
2020,assists
2020,teamkills
2020,teamdeaths
2020,team kpm
2020,ckpm
2020,totalgold
2020,earnedgold
2020,earned gpm
2020,earnedgoldshare
2020,total cs
2021,gameid
2021,datacompleteness
2021,league
2021,year
2021,playoffs
2021,date
2021,patch
2021,participantid
2021,side
2021,position
2021,champion
2021,gamelength
2021,result
2021,kills
2021,deaths
2021,assists
2021,teamkills
2021,teamdeaths
2021,team kpm
2021,ckpm
2021,totalgold
2021,earnedgoldshare
2021,total cs
2021,cspm
2022,gameid
2022,datacompleteness
2022,league
2022,year
2022,playoffs
2022,date
2022,game
2022,participantid
2022,side
2022,position
2022,champion
2022,gamelength
2022,result
2022,kills
2022,deaths
2022,assists
2022,teamkills
2022,teamdeaths
2022,team kpm
2022,ckpm
2022,totalgold
2022,earnedgoldshare
2022,total cs
2022,cspm
2023,gameid
2023,datacompleteness
2023,league
2023,year
2023,playoffs
2023,date
2023,game
2023,participantid
2023,side
2023,position
2023,teamname
2023,champion
2023,gamelength
2023,result
2023,kills
2023,deaths
2023,assists
2023,teamkills
2023,teamdeaths
2023,team kpm
2023,ckpm
2023,totalgold
2023,earnedgold
2023,earned gpm
2023,earnedgoldshare
2023,minionkills
2024,gameid
2024,datacompleteness
2024,league
2024,year
2024,playoffs
2024,date
2024,game
2024,participantid
2024,side
2024,position
2024,playername
2024,teamname
2024,champion
2024,gamelength
2024,result
2024,kills
2024,deaths
2024,assists
2024,teamkills
2024,teamdeaths
2024,firstbloodkill
2024,team kpm
2024,ckpm
2024,damagetochampions
2024,dpm
2024,damageshare
2024,damagetakenperminute
2024,wardsplaced
2024,wpm
2024,wardskilled
2024,wcpm
2024,controlwardsbought
2024,visionscore
2024,vspm
2024,totalgold
2024,earnedgold
2024,earned gpm
2024,earnedgoldshare
2024,goldspent
2024,total cs
2024,minionkills
2024,monsterkills
2024,cspm
2025,gameid
2025,datacompleteness
2025,league
2025,year
2025,playoffs
2025,date
2025,game
2025,patch
2025,participantid
2025,side
2025,position
2025,teamname
2025,champion
2025,gamelength
2025,result
2025,kills
2025,deaths
2025,assists
2025,teamkills
2025,teamdeaths
2025,firstbloodkill
2025,team kpm
2025,ckpm
2025,damagetochampions
2025,dpm
2025,damageshare
2025,damagetakenperminute
2025,wardsplaced
2025,wpm
2025,wardskilled
2025,wcpm
2025,controlwardsbought
2025,visionscore
