gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01_2690705,complete,,LCK,2022,Spring,0,2022-01-12 10:07:10,1,12.01,3,Blue,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Zoe,Lee Sin,Ryze,Viktor,LeBlanc,Graves,,,,,,2233,1,4,0,2,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3224,0.5105,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,17405.0,467.6668,0.234168,317.3041,153.7483,16.0,0.4299,14.0,0.3762,4.0,56.0,1.5047,14645,9815.0,263.7259,0.232007,13300.0,,,301.0,280.0,21.0,,,8.0878,3206.0,4554.0,86.0,3312.0,4617.0,92.0,-106.0,-63.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5165.0,7609.0,148.0,5126.0,7566.0,149.0,39.0,43.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,7539.0,10558.0,202.0,6590.0,9567.0,183.0,949.0,991.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10014.0,12912.0,243.0,7884.0,11067.0,210.0,2130.0,1845.0,33.0,2.0,0.0,0.0,0.0,0.0,1.0
ESPORTSTMNT01_2690725,complete,,LCK,2022,Spring,0,2022-01-12 11:49:28,2,12.01,8,Red,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Viktor,Renekton,Ryze,Lux,LeBlanc,Jayce,,,,,,1506,1,6,1,5,18,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7171,0.8765,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,18200.0,725.0996,0.288486,401.9124,406.8127,11.0,0.4382,4.0,0.1594,4.0,20.0,0.7968,10732,7385.0,294.2231,0.215513,9300.0,,,179.0,171.0,8.0,,,7.1315,3363.0,4727.0,79.0,3210.0,4317.0,84.0,153.0,410.0,-5.0,0.0,1.0,0.0,0.0,0.0,1.0,5257.0,7303.0,126.0,5583.0,7340.0,135.0,-326.0,-37.0,-9.0,0.0,2.0,1.0,2.0,1.0,1.0,7634.0,9618.0,154.0,7231.0,9126.0,177.0,403.0,492.0,-23.0,2.0,4.0,1.0,2.0,1.0,3.0,10699.0,12494.0,179.0,8350.0,10458.0,202.0,2349.0,2036.0,-23.0,6.0,5.0,1.0,2.0,1.0,4.0
ESPORTSTMNT01_2691518,complete,,LCK,2022,Spring,0,2022-01-14 09:32:22,1,12.01,8,Red,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Ryze,Renekton,Lee Sin,Karma,Gragas,LeBlanc,,,,,,2568,0,0,3,4,11,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.6542,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,1.0,11574.0,270.4206,0.16543,547.3364,438.972,10.0,0.2336,6.0,0.1402,5.0,38.0,0.8879,16097,10582.0,247.243,0.226745,14025.0,,,381.0,329.0,52.0,,,8.9019,3125.0,4568.0,85.0,2889.0,4692.0,69.0,236.0,-124.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,5247.0,7207.0,143.0,5267.0,7479.0,116.0,-20.0,-272.0,27.0,0.0,0.0,1.0,1.0,2.0,0.0,7257.0,9616.0,189.0,6938.0,9480.0,137.0,319.0,136.0,52.0,0.0,0.0,1.0,2.0,3.0,0.0,9082.0,12656.0,238.0,8697.0,12513.0,183.0,385.0,143.0,55.0,0.0,3.0,2.0,2.0,5.0,1.0
ESPORTSTMNT01_2691546,complete,,LCK,2022,Spring,0,2022-01-14 11:51:26,2,12.01,3,Blue,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Viktor,Lee Sin,LeBlanc,Twisted Fate,Leona,Yuumi,,,,,,2756,1,5,4,11,21,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4572,0.7402,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,1.0,36737.0,799.7896,0.328884,318.3527,434.1509,24.0,0.5225,8.0,0.1742,8.0,65.0,1.4151,20899,15002.0,326.6038,0.261104,19350.0,,,393.0,342.0,51.0,,,8.5559,3861.0,4671.0,93.0,3209.0,4592.0,84.0,652.0,79.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6066.0,7333.0,149.0,5264.0,7951.0,151.0,802.0,-618.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,8591.0,9862.0,190.0,7503.0,10419.0,196.0,1088.0,-557.0,-6.0,2.0,1.0,1.0,1.0,1.0,0.0,10331.0,12055.0,232.0,10271.0,13172.0,247.0,60.0,-1117.0,-15.0,2.0,2.0,1.0,2.0,2.0,0.0
ESPORTSTMNT01_2691557,complete,,LCK,2022,Spring,0,2022-01-14 13:00:25,3,12.01,8,Red,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Vex,Lee Sin,Renekton,,Camille,LeBlanc,,,,,,2487,1,7,1,4,18,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4343,0.5308,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,17746.0,428.1303,0.241445,362.0989,213.7998,33.0,0.7961,17.0,0.4101,8.0,72.0,1.737,15526,10176.0,245.5006,0.195873,13200.0,,,274.0,258.0,16.0,,,6.6104,3529.0,4887.0,101.0,3449.0,4888.0,97.0,80.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5493.0,7635.0,157.0,5543.0,8192.0,168.0,-50.0,-557.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,7055.0,9140.0,179.0,7703.0,10764.0,213.0,-648.0,-1624.0,-34.0,1.0,0.0,1.0,1.0,0.0,0.0,9292.0,11410.0,221.0,9493.0,13150.0,268.0,-201.0,-1740.0,-47.0,3.0,0.0,1.0,1.0,0.0,1.0
ESPORTSTMNT01_2704285,complete,,LCK,2022,Spring,0,2022-01-20 06:11:55,1,12.01,8,Red,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Tryndamere,Renekton,Twisted Fate,Caitlyn,Gragas,Thresh,,,,,,1676,1,8,1,6,19,9,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6802,1.0024,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,12134.0,434.3914,0.265747,797.327,606.0859,13.0,0.4654,18.0,0.6444,11.0,51.0,1.8258,14887,11192.0,400.6683,0.294226,12625.0,,,280.0,264.0,16.0,,,10.0239,3919.0,4597.0,82.0,3548.0,4495.0,89.0,371.0,102.0,-7.0,2.0,2.0,0.0,0.0,4.0,0.0,7549.0,8332.0,139.0,5645.0,7057.0,142.0,1904.0,1275.0,-3.0,5.0,3.0,0.0,0.0,4.0,1.0,10068.0,11402.0,202.0,7917.0,10395.0,211.0,2151.0,1007.0,-9.0,5.0,3.0,0.0,0.0,4.0,1.0,12600.0,15333.0,260.0,10409.0,13934.0,270.0,2191.0,1399.0,-10.0,5.0,5.0,1.0,0.0,7.0,1.0
ESPORTSTMNT01_2694425,complete,,LCK,2022,Spring,0,2022-01-20 08:35:27,2,12.01,3,Blue,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Corki,Graves,Caitlyn,Renekton,Rakan,Leona,,,,,,1723,1,4,1,7,14,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4875,0.7661,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,0.0,0.0,14380.0,500.7545,0.289231,310.7603,207.545,15.0,0.5223,10.0,0.3482,7.0,50.0,1.7411,12406,8616.0,300.0348,0.231425,10725.0,,,240.0,200.0,40.0,,,8.3575,2986.0,4084.0,71.0,3742.0,4988.0,97.0,-756.0,-904.0,-26.0,0.0,0.0,0.0,1.0,0.0,0.0,5293.0,6358.0,116.0,6270.0,7852.0,148.0,-977.0,-1494.0,-32.0,1.0,1.0,1.0,3.0,1.0,1.0,7213.0,8147.0,147.0,7738.0,9573.0,177.0,-525.0,-1426.0,-30.0,1.0,4.0,1.0,3.0,4.0,1.0,9496.0,10976.0,208.0,9356.0,11960.0,223.0,140.0,-984.0,-15.0,1.0,4.0,1.0,3.0,4.0,1.0
ESPORTSTMNT01_2705912,complete,,LCK,2022,Spring,0,2022-01-23 05:38:44,1,12.01,8,Red,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Corki,Renekton,Xin Zhao,Akali,Viego,Poppy,,,,,,1944,1,1,5,9,19,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5864,0.9568,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,16435.0,507.2531,0.171997,526.3889,522.8704,15.0,0.463,12.0,0.3704,5.0,58.0,1.7901,12487,8246.0,254.5062,0.195384,11425.0,,,246.0,208.0,38.0,,,7.5926,3168.0,4473.0,73.0,3602.0,4822.0,82.0,-434.0,-349.0,-9.0,0.0,1.0,1.0,1.0,1.0,1.0,5837.0,7168.0,127.0,5438.0,7836.0,132.0,399.0,-668.0,-5.0,1.0,4.0,2.0,1.0,5.0,1.0,7605.0,9422.0,161.0,6711.0,9386.0,166.0,894.0,36.0,-5.0,1.0,6.0,2.0,1.0,5.0,2.0,9573.0,11726.0,205.0,8875.0,11997.0,218.0,698.0,-271.0,-13.0,1.0,7.0,3.0,1.0,6.0,3.0
ESPORTSTMNT01_2705943,complete,,LCK,2022,Spring,0,2022-01-23 08:40:19,2,12.01,8,Red,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Corki,Renekton,Xin Zhao,Akali,Lee Sin,Graves,,,,,,1510,1,2,0,5,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3974,0.4768,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,12599.0,500.6225,0.31263,293.2053,168.8742,14.0,0.5563,4.0,0.1589,6.0,19.0,0.755,10529,7174.0,285.0596,0.250779,8250.0,,,246.0,224.0,22.0,,,9.7748,3432.0,4370.0,90.0,3318.0,4423.0,84.0,114.0,-53.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,5353.0,7395.0,149.0,5062.0,7332.0,139.0,291.0,63.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,7477.0,9817.0,201.0,7219.0,9814.0,191.0,258.0,3.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,10151.0,12427.0,246.0,8750.0,11213.0,217.0,1401.0,1214.0,29.0,1.0,4.0,0.0,1.0,1.0,1.0
ESPORTSTMNT02_2551187,complete,,LCK,2022,Spring,0,2022-01-27 10:41:31,1,12.02,3,Blue,mid,Faker,oe:player:e1edfc5cea461399a63cb813cf795cc,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,Corki,Graves,Yuumi,Renekton,Gwen,Gnar,,,,,,2813,1,2,0,0,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1066,0.256,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,31838.0,679.0899,0.533836,383.7824,217.4547,28.0,0.5972,12.0,0.256,11.0,70.0,1.4931,21338,15324.0,326.8539,0.278614,19275.0,,,420.0,345.0,75.0,,,8.9584,3287.0,4707.0,90.0,3531.0,4774.0,102.0,-244.0,-67.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,6360.0,7745.0,152.0,5302.0,7354.0,159.0,1058.0,391.0,-7.0,0.0,0.0,0.0,0.0,1.0,0.0,8949.0,11151.0,224.0,7534.0,10194.0,216.0,1415.0,957.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,11553.0,13753.0,277.0,9438.0,12279.0,255.0,2115.0,1474.0,22.0,0.0,0.0,0.0,1.0,2.0,0.0
