playername,teamname,position,champion,result,game_length_minutes,dpm,damageshare,vspm,turretplates,assists,firstbloodassist,kill_participation,damage_per_gold,deaths_per_minute,kda_ratio,damagetakenperminute,ward_score,assist_to_kill_ratio,objective_participation,multikill_score
Faker,T1,mid,Zoe,1,37.21666666666667,467.6668,0.234168,1.5047,,2,0.0,0.5,1.7733061640346408,0.0,6.0,317.3041,0.8061,0.5,,0.0
Faker,T1,mid,Viktor,1,25.1,725.0996,0.288486,0.7968,,5,0.0,0.6111111111111112,2.4644549763033177,0.0398406374501992,11.0,401.9124,0.5975999999999999,0.8333333333333334,,2.0
Faker,T1,mid,Ryze,0,42.8,270.4206,0.16543,0.8879,,4,0.0,0.36363636363636365,1.0937440937440936,0.07009345794392524,1.3333333333333333,547.3364,0.3738,4.0,,0.0
Faker,T1,mid,Viktor,1,45.93333333333333,799.7896,0.328884,1.4151,,11,0.0,0.7619047619047619,2.4488068257565656,0.08708272859216257,4.0,318.3527,0.6967,2.2,,0.0
Faker,T1,mid,Vex,1,41.45,428.1303,0.241445,1.737,,4,0.0,0.6111111111111112,1.7439072327044025,0.024125452352231604,11.0,362.0989,1.2062,0.5714285714285714,,2.0
Faker,T1,mid,Tryndamere,1,27.933333333333334,434.3914,0.265747,1.8258,,6,0.0,0.7368421052631579,1.0841672623302359,0.03579952267303103,14.0,797.327,1.1098,0.75,,3.0
Faker,T1,mid,Corki,1,28.716666666666665,500.7545,0.289231,1.7411,,7,0.0,0.7857142857142857,1.6689879294336118,0.03482298316889147,11.0,310.7603,0.8705,1.75,,0.0
Faker,T1,mid,Corki,1,32.4,507.2531,0.171997,1.7901,,9,0.0,0.5263157894736842,1.9930875576036866,0.154320987654321,2.0,526.3889,0.8334,9.0,,0.0
Faker,T1,mid,Corki,1,25.166666666666668,500.6225,0.31263,0.755,,5,0.0,0.7,1.7562029551156955,0.0,7.0,293.2053,0.7152000000000001,2.5,,0.0
Faker,T1,mid,Corki,1,46.88333333333333,679.0899,0.533836,1.4931,,0,0.0,0.4,2.0776559645001305,0.0,2.0,383.7824,0.8532,0.0,,0.0
Faker,T1,mid,Viktor,0,30.616666666666667,441.7529,0.273243,0.8492,,3,0.0,0.8,1.8735281894999307,0.130647795318454,1.0,421.5024,0.5225,3.0,,0.0
Faker,T1,mid,Azir,1,39.75,443.6981,0.203682,1.8616,,5,0.0,0.42105263157894735,1.7707831325301204,0.025157232704402517,8.0,437.1321,0.7295,1.6666666666666667,,0.0
Faker,T1,mid,Ryze,0,55.43333333333333,263.7763,0.139882,2.6699,,4,0.0,0.6666666666666666,1.046596521365686,0.01803968731208659,6.0,554.9008,1.0463,2.0,,0.0
Faker,T1,mid,Vex,1,30.083333333333332,441.7064,0.242978,1.4626,,7,0.0,0.631578947368421,1.4935371473530403,0.0664819944598338,6.0,409.5291,0.7977000000000001,1.4,,0.0
Faker,T1,mid,LeBlanc,1,33.833333333333336,642.8867,0.269944,1.7143,,9,0.0,0.75,2.07626956853761,0.08866995073891625,5.0,531.6946,0.9163,1.5,,1.0
Faker,T1,mid,Ryze,0,32.55,246.6667,0.159066,1.4132,,6,0.0,1.0,0.9292824074074074,0.12288786482334871,2.0,488.172,0.7066,3.0,,0.0
Faker,T1,mid,Zoe,1,25.083333333333332,313.5548,0.150176,0.598,,2,0.0,0.4,1.518926226342217,0.079734219269103,2.0,460.7841,0.2791,1.0,,0.0
Faker,T1,mid,Viktor,1,46.95,693.1629,0.324292,1.1928,,6,0.0,0.8,2.181671917945968,0.042598509052183174,6.0,315.2716,0.6177,1.0,,0.0
Faker,T1,mid,Corki,1,45.766666666666666,988.9075,0.360773,2.3598,,12,0.0,0.8571428571428571,2.6437876044161457,0.06554989075018208,6.0,409.6431,0.7865,2.0,,2.0
Faker,T1,mid,Azir,1,30.55,574.1735,0.281869,1.3093,,2,0.0,0.46153846153846156,1.9256779009770557,0.09819967266775777,2.0,558.8543,0.622,0.5,,0.0
Faker,T1,mid,LeBlanc,1,32.583333333333336,555.4066,0.186648,0.9821,,7,0.0,0.5909090909090909,2.1600620673191693,0.15345268542199486,2.6,667.3657,0.6752,1.1666666666666667,,1.0
Faker,T1,mid,Ahri,1,22.016666666666666,498.9402,0.253941,1.8622,,9,0.0,0.55,1.5849083826287693,0.045420136260408785,11.0,545.8592,1.181,4.5,,0.0
Faker,T1,mid,Ahri,1,39.56666666666667,340.0084,0.27934,2.3252,,2,1.0,0.625,1.1790534618755477,0.0,5.0,316.7565,1.4658,0.6666666666666666,,0.0
Faker,T1,mid,Ahri,0,40.95,497.094,0.217676,1.978,,8,0.0,0.55,2.114909090909091,0.1465201465201465,1.8333333333333333,486.398,1.3675,2.6666666666666665,,0.0
Faker,T1,mid,LeBlanc,1,29.666666666666668,591.8764,0.273254,2.5281,,7,0.0,0.55,2.334662943757479,0.0,11.0,403.9888,1.7528000000000001,1.75,,0.0
Faker,T1,mid,Azir,1,30.083333333333332,395.9668,0.165592,1.3961,,7,0.0,0.4090909090909091,1.3346778711484595,0.0332409972299169,9.0,423.3906,0.8643000000000001,3.5,,0.0
Faker,T1,mid,Viktor,1,46.266666666666666,451.4481,0.256285,1.5562,,9,0.0,0.75,1.674711353431687,0.043227665706051875,4.5,336.6138,0.8429,9.0,,0.0
Faker,T1,mid,LeBlanc,1,30.416666666666668,696.263,0.278889,0.9863,,2,0.0,0.47368421052631576,2.3565149660620897,0.06575342465753424,4.5,455.9014,0.7562,0.2857142857142857,,1.0
Faker,T1,mid,Ahri,1,26.6,676.2406,0.345166,1.6917,,6,0.0,0.7333333333333333,2.1491039426523297,0.0,11.0,495.9398,1.0151000000000001,1.2,,2.0
Faker,T1,mid,LeBlanc,1,32.06666666666667,500.9875,0.224068,1.5281,,6,1.0,0.6,1.6816706793677378,0.031185031185031183,12.0,546.4241,1.0603,1.0,,0.0
Faker,T1,mid,Ryze,1,35.9,330.1114,0.13548,1.2813,,4,0.0,0.3333333333333333,1.4099940511600237,0.08356545961002786,1.6666666666666667,506.9916,0.5849,4.0,,0.0
Faker,T1,mid,LeBlanc,1,35.083333333333336,425.6152,0.232249,1.3682,,3,0.0,0.4375,1.6968181818181818,0.05700712589073634,3.5,458.9359,0.9976,0.75,,1.0
Faker,T1,mid,LeBlanc,1,34.2,550.614,0.24433,1.4327,,4,0.0,0.5294117647058824,1.744741962383026,0.05847953216374269,4.5,642.1345,0.9942,0.8,,0.0
Faker,T1,mid,Ahri,1,36.31666666666667,539.1464,0.268315,1.3768,,7,0.0,0.6428571428571429,2.121343445287107,0.055071133547498846,4.5,390.8398,1.1014,3.5,,0.0
Faker,T1,mid,Galio,0,31.0,478.6774,0.261383,1.8065,,2,0.0,0.75,1.8838390250095214,0.06451612903225806,3.0,462.8387,1.0322,0.5,,0.0
Faker,T1,mid,Kai'Sa,1,30.116666666666667,641.1732,0.243592,0.8965,,5,0.0,0.42857142857142855,2.630790190735695,0.0996126175982291,3.0,384.9032,0.7637,1.25,,0.0
Faker,T1,mid,Ahri,1,19.083333333333332,553.6769,0.224512,0.9432,,5,0.0,0.42105263157894735,1.8261320428620809,0.052401746724890834,8.0,453.5895,0.6812,1.6666666666666667,,0.0
Faker,T1,mid,Ahri,1,19.9,365.7789,0.157139,1.5075,,5,0.0,0.3181818181818182,1.1375214877324582,0.05025125628140704,7.0,412.3116,1.1558000000000002,2.5,,0.0
Faker,T1,mid,Kai'Sa,0,41.083333333333336,904.2353,0.350214,1.2414,,5,0.0,0.7,4.089498018494056,0.0973630831643002,1.75,354.5963,0.9493,2.5,,0.0
Faker,T1,mid,LeBlanc,1,21.55,515.406,0.190335,1.2065,,5,0.0,0.391304347826087,1.936029283597699,0.04640371229698376,9.0,615.406,0.7888,1.25,,1.0
Faker,T1,mid,LeBlanc,1,24.9,518.2731,0.184278,0.7631,,7,0.0,0.5,1.934492579823115,0.040160642570281124,10.0,437.5502,0.7229,2.3333333333333335,,0.0
Faker,T1,mid,Vex,1,29.4,486.6667,0.196817,1.7347,,5,0.0,0.5625,1.8883463112049623,0.0,9.0,221.7347,1.0544,1.25,,0.0
Faker,T1,mid,Veigar,1,30.516666666666666,442.1846,0.21293,1.4091,,6,1.0,0.6666666666666666,1.3239795918367347,0.0,14.0,296.0677,0.8193,0.75,,1.0
Faker,T1,mid,Ahri,1,26.283333333333335,555.1427,0.268054,2.0545,,6,1.0,0.7692307692307693,1.9188584955286692,0.03804692454026633,10.0,472.0862,1.4458,1.5,,1.0
Faker,T1,mid,Vex,1,20.266666666666666,475.9046,0.19662,0.8882,,4,0.0,0.3684210526315789,1.8852619233776389,0.0,7.0,336.2664,0.5428,1.3333333333333333,,0.0
Faker,T1,mid,Vex,1,31.966666666666665,512.2523,0.274702,1.3764,,8,0.0,0.65,1.777958740499457,0.03128258602711158,13.0,434.9218,0.9385000000000001,1.6,,1.0
Faker,T1,mid,Ryze,1,30.15,431.476,0.225757,1.393,,10,0.0,0.8,1.4443210836016431,0.06633499170812604,6.0,508.9552,0.8623999999999999,5.0,,1.0
Faker,T1,mid,Ryze,0,35.63333333333333,301.7399,0.119297,0.898,,6,1.0,0.35294117647058826,1.3572330219641504,0.11225444340505145,1.5,566.9972,0.6174,6.0,,0.0
Faker,T1,mid,Ahri,1,37.45,325.9279,0.157776,1.3618,,8,0.0,0.5333333333333333,1.3436811977102598,0.0,8.0,573.2176,0.8812,8.0,,0.0
Faker,T1,mid,Ahri,1,27.916666666666668,468.7164,0.236824,1.3254,,6,0.0,0.47619047619047616,1.493891996803288,0.0,10.0,407.1403,0.8955000000000001,1.5,,0.0
