playername,teamname,league,year,split,final_macro
Amazing,Fnatic Academy,EU LCS,2017,Summer,0.0
Cinkrof,Origen,EU LCS,2017,Summer,0.0
CozQ,Misfits Academy,EU LCS,2017,Summer,0.0
Dreams,Misfits Academy,EU LCS,2017,Summer,0.0
HeaQ,Giants Gaming,EU LCS,2017,Summer,0.0
Hustlin,Giants Gaming,EU LCS,2017,Summer,0.0
Jisu,Misfits Academy,EU LCS,2017,Summer,0.0
Kikis,Fnatic Academy,EU LCS,2017,Summer,0.0
Klaj,Fnatic Academy,EU LCS,2017,Summer,0.0
Memento,Giants Gaming,EU LCS,2017,Summer,0.0
MrRallez,Fnatic Academy,EU LCS,2017,Summer,0.0
Naehyun,Origen,EU LCS,2017,Summer,0.0
NighT,Giants Gaming,EU LCS,2017,Summer,0.0
Nisqy,Fnatic Academy,EU LCS,2017,Summer,0.0
Pridestalkr,Misfits Academy,EU LCS,2017,Summer,0.0
Satorius,Origen,EU LCS,2017,Summer,0.0
Tabzz,Origen,EU LCS,2017,Summer,0.0
Yuuki60,Misfits Academy,EU LCS,2017,Summer,0.0
fjoompbun,Giants Gaming,EU LCS,2017,Summer,0.0
xPeke,Origen,EU LCS,2017,Summer,0.0
Deftly,eUnited,NA LCS,2017,Summer,0.0
Fenix,Gold Coin United,NA LCS,2017,Summer,0.0
Fox,eUnited,NA LCS,2017,Summer,0.0
Gilius,eUnited,NA LCS,2017,Summer,0.0
Licorice,eUnited,NA LCS,2017,Summer,0.0
MadLife,Gold Coin United,NA LCS,2017,Summer,0.0
Mash,Gold Coin United,NA LCS,2017,Summer,0.0
Santorin,Gold Coin United,NA LCS,2017,Summer,0.0
Solo,Gold Coin United,NA LCS,2017,Summer,0.0
Zeyzal,eUnited,NA LCS,2017,Summer,0.0
Candy,CJ Entus,LCK,2017,Summer,0.0
Edge,Kongdoo Monster,LCK,2017,Summer,0.0
GuGer,Kongdoo Monster,LCK,2017,Summer,0.0
Punch,Kongdoo Monster,LCK,2017,Summer,0.0
Pure,CJ Entus,LCK,2017,Summer,0.0
Roach,Kongdoo Monster,LCK,2017,Summer,0.0
Soul,CJ Entus,LCK,2017,Summer,0.0
Ssol,Kongdoo Monster,LCK,2017,Summer,0.0
Veritas,CJ Entus,LCK,2017,Summer,0.0
Winged,CJ Entus,LCK,2017,Summer,0.0
