gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
ESPORTSTMNT01_2240116,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2240116?gameHash=c463243d61898f25,LCK,2021,,0,2021-08-31 07:00:19,1.0,11.16,1,Blue,top,Morgan,oe:player:f73dde2d8c7879ae8d1fcdc03c4ffeb,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Camille,Gnar,Ryze,Jayce,Kalista,,,,,,,2255,0,2,3,0,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1863,0.5055,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,7536.0,200.5144,0.0951131,839.5477,613.9424,14.0,0.3725,12.0,0.3193,11.0,40.0,1.0643,13021,8146.0,216.745,0.232133,12425.0,,,286.0,261.0,25.0,,,7.6098,2859.0,4372.0,63.0,3800.0,5065.0,99.0,-941.0,-693.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,4534.0,6302.0,90.0,5739.0,8087.0,154.0,-1205.0,-1785.0,-64.0,1.0,0.0,1.0,0.0,3.0,1.0,5933.0,8105.0,121.0,8120.0,10707.0,196.0,-2187.0,-2602.0,-75.0,1.0,0.0,2.0,1.0,3.0,1.0,7967.0,11165.0,176.0,9932.0,13418.0,252.0,-1965.0,-2253.0,-76.0,1.0,0.0,2.0,1.0,3.0,1.0
ESPORTSTMNT01_2240116,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2240116?gameHash=c463243d61898f25,LCK,2021,,0,2021-08-31 07:00:19,1.0,11.16,2,Blue,jng,Willer,oe:player:baf26814ef7b2f10fac33a00c3d53a3,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Xin Zhao,Gnar,Ryze,Jayce,Kalista,,,,,,,2255,0,1,4,3,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1863,0.5055,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,0.0,0.0,5804.0,154.4302,0.0732532,883.1308,545.9601,24.0,0.6386,16.0,0.4257,23.0,60.0,1.5965,10260,5385.0,143.2816,0.153453,10075.0,,,194.0,25.0,169.0,,,5.1619,3091.0,3378.0,66.0,3514.0,3575.0,66.0,-423.0,-197.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4491.0,5324.0,94.0,5478.0,6122.0,102.0,-987.0,-798.0,-8.0,0.0,1.0,1.0,2.0,2.0,0.0,6330.0,7543.0,130.0,7174.0,7996.0,121.0,-844.0,-453.0,9.0,1.0,1.0,2.0,2.0,4.0,0.0,7419.0,9136.0,145.0,8180.0,9043.0,138.0,-761.0,93.0,7.0,1.0,2.0,2.0,2.0,4.0,1.0
ESPORTSTMNT01_2240116,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2240116?gameHash=c463243d61898f25,LCK,2021,,0,2021-08-31 07:00:19,1.0,11.16,3,Blue,mid,Chovy,oe:player:fb6e61b8acb05df17b7e5ad4ae7c800,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,LeBlanc,Gnar,Ryze,Jayce,Kalista,,,,,,,2255,0,1,1,1,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1863,0.5055,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,1.0,25359.0,674.7406,0.32006,618.5721,350.3681,35.0,0.9313,26.0,0.6918,3.0,90.0,2.3947,13718,8843.0,235.2905,0.251996,13225.0,,,351.0,331.0,20.0,,,9.3392,3304.0,4728.0,88.0,3665.0,4586.0,90.0,-361.0,142.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,5031.0,7486.0,140.0,6023.0,7570.0,136.0,-992.0,-84.0,4.0,0.0,0.0,1.0,2.0,3.0,0.0,7203.0,10597.0,207.0,8519.0,10527.0,189.0,-1316.0,70.0,18.0,0.0,0.0,1.0,3.0,4.0,0.0,9081.0,12517.0,244.0,10284.0,13088.0,240.0,-1203.0,-571.0,4.0,1.0,0.0,1.0,3.0,4.0,0.0
ESPORTSTMNT01_2240116,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2240116?gameHash=c463243d61898f25,LCK,2021,,0,2021-08-31 07:00:19,1.0,11.16,4,Blue,bot,Deft,oe:player:c588a2d07b69ca4ba61c96aebd3f793,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Varus,Gnar,Ryze,Jayce,Kalista,,,,,,,2255,0,2,1,3,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1863,0.5055,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,2.0,34267.0,911.7605,0.432489,320.1419,172.2306,29.0,0.7716,10.0,0.2661,5.0,52.0,1.3836,14818,9943.0,264.5588,0.283343,14475.0,,,368.0,353.0,15.0,,,9.7916,3589.0,3220.0,96.0,3219.0,3278.0,85.0,370.0,-58.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5487.0,5428.0,140.0,5439.0,5979.0,138.0,48.0,-551.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,7751.0,8118.0,196.0,7756.0,8777.0,204.0,-5.0,-659.0,-8.0,1.0,2.0,1.0,1.0,4.0,1.0,10058.0,11045.0,267.0,9761.0,11474.0,261.0,297.0,-429.0,6.0,1.0,3.0,1.0,1.0,4.0,1.0
ESPORTSTMNT01_2240116,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2240116?gameHash=c463243d61898f25,LCK,2021,,0,2021-08-31 07:00:19,1.0,11.16,5,Blue,sup,Vsta,oe:player:16c1637b4b44b008b4d6627f68ae30a,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,Braum,Gnar,Ryze,Jayce,Kalista,,,,,,,2255,0,1,3,5,7,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1863,0.5055,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,6266.0,166.7228,0.0790842,391.3969,383.2284,66.0,1.7561,16.0,0.4257,22.0,108.0,2.8736,7650,2775.0,73.8359,0.0790753,7350.0,,,42.0,42.0,0.0,,,1.1175,2197.0,3048.0,20.0,2117.0,2630.0,16.0,80.0,418.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3651.0,4660.0,29.0,3163.0,3477.0,22.0,488.0,1183.0,7.0,1.0,2.0,1.0,0.0,1.0,1.0,4694.0,5576.0,34.0,4271.0,4258.0,29.0,423.0,1318.0,5.0,1.0,3.0,1.0,0.0,1.0,2.0,5611.0,6592.0,37.0,5066.0,4786.0,35.0,545.0,1806.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0
ESPORTSTMNT01_2240116,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2240116?gameHash=c463243d61898f25,LCK,2021,,0,2021-08-31 07:00:19,1.0,11.16,6,Red,top,Summit,oe:player:99ce2ea4de279c28bb0315848da8a48,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Kennen,Irelia,Renekton,Lee Sin,Ziggs,Ashe,,,,,,2255,1,2,2,5,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3193,0.5055,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,22841.0,607.7428,0.299582,477.0466,276.3459,10.0,0.2661,17.0,0.4523,6.0,45.0,1.1973,14975,10100.0,268.7361,0.22284,14550.0,,,326.0,294.0,32.0,,,8.6741,3800.0,5065.0,99.0,2859.0,4372.0,63.0,941.0,693.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,5739.0,8087.0,154.0,4534.0,6302.0,90.0,1205.0,1785.0,64.0,0.0,3.0,1.0,1.0,0.0,1.0,8120.0,10707.0,196.0,5933.0,8105.0,121.0,2187.0,2602.0,75.0,1.0,3.0,1.0,1.0,0.0,2.0,9932.0,13418.0,252.0,7967.0,11165.0,176.0,1965.0,2253.0,76.0,1.0,3.0,1.0,1.0,0.0,2.0
ESPORTSTMNT01_2240116,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2240116?gameHash=c463243d61898f25,LCK,2021,,0,2021-08-31 07:00:19,1.0,11.16,7,Red,jng,Croco,oe:player:5c6f901a83ec448d51703aebba0ca64,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Viego,Irelia,Renekton,Lee Sin,Ziggs,Ashe,,,,,,2255,1,2,1,9,12,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3193,0.5055,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,0.0,0.0,7740.0,205.9424,0.101518,871.9823,564.8514,6.0,0.1596,26.0,0.6918,6.0,65.0,1.7295,12074,7199.0,191.5477,0.158833,10650.0,,,186.0,33.0,153.0,,,4.949,3514.0,3575.0,66.0,3091.0,3378.0,66.0,423.0,197.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5478.0,6122.0,102.0,4491.0,5324.0,94.0,987.0,798.0,8.0,2.0,2.0,0.0,0.0,1.0,1.0,7174.0,7996.0,121.0,6330.0,7543.0,130.0,844.0,453.0,-9.0,2.0,4.0,0.0,1.0,1.0,2.0,8180.0,9043.0,138.0,7419.0,9136.0,145.0,761.0,-93.0,-7.0,2.0,4.0,1.0,1.0,2.0,2.0
ESPORTSTMNT01_2240116,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2240116?gameHash=c463243d61898f25,LCK,2021,,0,2021-08-31 07:00:19,1.0,11.16,8,Red,mid,FATE,oe:player:24cd6812f523cf30c3502344539be6f,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Azir,Irelia,Renekton,Lee Sin,Ziggs,Ashe,,,,,,2255,1,5,0,6,12,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3193,0.5055,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,1.0,0.0,21462.0,571.051,0.281495,491.4678,358.5898,19.0,0.5055,14.0,0.3725,7.0,54.0,1.4368,17545,12670.0,337.1175,0.279544,16050.0,,,359.0,346.0,13.0,,,9.5521,3665.0,4586.0,90.0,3304.0,4728.0,88.0,361.0,-142.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6023.0,7570.0,136.0,5031.0,7486.0,140.0,992.0,84.0,-4.0,2.0,3.0,0.0,0.0,0.0,1.0,8519.0,10527.0,189.0,7203.0,10597.0,207.0,1316.0,-70.0,-18.0,3.0,4.0,0.0,0.0,0.0,1.0,10284.0,13088.0,240.0,9081.0,12517.0,244.0,1203.0,571.0,-4.0,3.0,4.0,0.0,1.0,0.0,1.0
ESPORTSTMNT01_2240116,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2240116?gameHash=c463243d61898f25,LCK,2021,,0,2021-08-31 07:00:19,1.0,11.16,9,Red,bot,Prince,oe:player:030a726de315d9ad86989bf360809e9,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Ezreal,Irelia,Renekton,Lee Sin,Ziggs,Ashe,,,,,,2255,1,3,1,7,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3193,0.5055,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,2.0,0.0,20463.0,544.4701,0.268392,633.6585,484.3636,21.0,0.5588,14.0,0.3725,7.0,45.0,1.1973,16765,11890.0,316.3636,0.262334,14525.0,,,379.0,350.0,29.0,,,10.0843,3219.0,3278.0,85.0,3589.0,3220.0,96.0,-370.0,58.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,5439.0,5979.0,138.0,5487.0,5428.0,140.0,-48.0,551.0,-2.0,1.0,3.0,1.0,1.0,1.0,1.0,7756.0,8777.0,204.0,7751.0,8118.0,196.0,5.0,659.0,8.0,1.0,4.0,1.0,1.0,2.0,1.0,9761.0,11474.0,261.0,10058.0,11045.0,267.0,-297.0,429.0,-6.0,1.0,4.0,1.0,1.0,3.0,1.0
ESPORTSTMNT01_2240116,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/2240116?gameHash=c463243d61898f25,LCK,2021,,0,2021-08-31 07:00:19,1.0,11.16,10,Red,sup,Effort,oe:player:035b9ae578574cdf728d8760483d804,Liiv SANDBOX,oe:team:c75f1f337fc5867914749d438a4871d,Leona,Irelia,Renekton,Lee Sin,Ziggs,Ashe,,,,,,2255,1,0,3,6,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3193,0.5055,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,3737.0,99.4324,0.0490143,448.7894,427.8492,79.0,2.102,18.0,0.4789,23.0,100.0,2.6608,8340,3465.0,92.1951,0.0764475,7575.0,,,39.0,39.0,0.0,,,1.0377,2117.0,2630.0,16.0,2197.0,3048.0,20.0,-80.0,-418.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,3163.0,3477.0,22.0,3651.0,4660.0,29.0,-488.0,-1183.0,-7.0,0.0,1.0,1.0,1.0,2.0,1.0,4271.0,4258.0,29.0,4694.0,5576.0,34.0,-423.0,-1318.0,-5.0,0.0,1.0,2.0,1.0,3.0,1.0,5066.0,4786.0,35.0,5611.0,6592.0,37.0,-545.0,-1806.0,-2.0,0.0,1.0,2.0,1.0,4.0,1.0
