playername,teamname,position,champion,result,game_length_minutes,dpm,damageshare,vspm,turretplates,assists,firstbloodassist,kill_participation,damage_per_gold,deaths_per_minute,kda_ratio,damagetakenperminute,ward_score,assist_to_kill_ratio,objective_participation,multikill_score
Lwx,FunPlus Phoenix,bot,Caitlyn,0,30.6,419.8693,0.288948,0.817,,3,,0.6666666666666666,1.4730566383856913,0.06535947712418301,2.0,457.4183,0.5555,3.0,,
Lwx,FunPlus Phoenix,bot,Zeri,1,29.65,508.027,0.236512,1.2479,,9,,0.6470588235294118,1.637994780339278,0.0,11.0,714.6712,0.7081999999999999,4.5,,
Lwx,FunPlus Phoenix,bot,Kalista,0,44.86666666666667,357.0802,0.161962,1.2259,,5,,0.8461538461538461,1.108719723183391,0.04457652303120357,5.5,470.5498,0.6909,0.8333333333333334,,
Lwx,FunPlus Phoenix,bot,Zeri,0,32.88333333333333,752.0831,0.411122,1.1252,,6,,0.8571428571428571,2.766021697796667,0.15205271160669032,1.2,666.5383,0.7602,6.0,,
Lwx,FunPlus Phoenix,bot,Zeri,1,32.61666666666667,782.9739,0.308287,1.8396,,16,,0.9545454545454546,2.511111111111111,0.09197751660705161,7.0,750.6592,1.0424,3.2,,
Lwx,FunPlus Phoenix,bot,Zeri,0,30.816666666666666,352.8935,0.326392,1.4602,,0,,0.6666666666666666,1.2149480504971513,0.06489994591671173,1.0,613.3045,0.8112,0.0,,
Lwx,FunPlus Phoenix,bot,Sivir,1,32.85,552.0852,0.219313,0.7002,,10,,0.7777777777777778,1.8265686373250076,0.091324200913242,4.666666666666667,515.6469,0.8523999999999999,2.5,,
Lwx,FunPlus Phoenix,bot,Sivir,0,39.06666666666667,664.1724,0.315511,0.9727,,12,,0.8571428571428571,1.9212884116993707,0.15358361774744025,3.0,854.0017,0.9215,2.0,,
Lwx,FunPlus Phoenix,bot,Lucian,1,32.68333333333333,643.2942,0.301043,1.591,,7,,0.75,1.8367257796802656,0.06119326874043856,7.5,550.2499,0.765,0.875,,
Lwx,FunPlus Phoenix,bot,Zeri,0,25.783333333333335,225.6109,0.17125,0.8145,,0,,0.5,1.2469453376205788,0.23270846800258563,0.16666666666666666,651.7388,0.6206,0.0,,
Lwx,FunPlus Phoenix,bot,Lucian,0,29.316666666666666,766.7652,0.431559,0.921,,2,,0.8888888888888888,2.252179140366697,0.10233086981239341,2.6666666666666665,618.8971,0.6821999999999999,0.3333333333333333,,
Lwx,FunPlus Phoenix,bot,Varus,0,38.166666666666664,528.0786,0.189112,0.7074,,5,,0.625,2.2942515651678996,0.13100436681222707,1.0,476.3319,0.5764,5.0,,
Lwx,FunPlus Phoenix,bot,Sivir,0,24.783333333333335,458.4129,0.202646,0.5245,,1,,0.6666666666666666,2.175603217158177,0.20174848688634833,0.4,574.7411,0.5245,1.0,,
Lwx,FunPlus Phoenix,bot,Varus,0,31.483333333333334,653.9651,0.3652,0.7623,,3,,0.75,3.021129860601614,0.09528851244044467,1.0,388.7136,0.6671,3.0,,
Lwx,FunPlus Phoenix,bot,Varus,0,41.733333333333334,1136.6454,0.415536,1.3419,,4,,0.7692307692307693,3.783982131461391,0.07188498402555911,3.3333333333333335,387.9872,0.623,0.6666666666666666,,
Lwx,FunPlus Phoenix,bot,Jhin,0,33.7,545.7567,0.281552,0.9792,,1,,0.6,1.8834613415258576,0.05934718100890207,1.5,535.9347,0.6528,0.5,,
Lwx,FunPlus Phoenix,bot,Caitlyn,0,43.46666666666667,509.7469,0.330906,1.3344,,5,,0.9166666666666666,1.4579851286438112,0.023006134969325152,11.0,589.2791,0.8512,0.8333333333333334,,
Lwx,FunPlus Phoenix,bot,Lucian,0,30.283333333333335,431.4584,0.263904,0.8916,,2,,0.42857142857142855,1.7757542810546345,0.09906439185470556,1.0,697.9747,0.4623,2.0,,
Lwx,FunPlus Phoenix,bot,Lucian,0,18.666666666666668,610.875,0.327772,0.6964,,2,,0.5,3.4481403084366495,0.3214285714285714,0.3333333333333333,732.1607,0.2679,2.0,,
Lwx,FunPlus Phoenix,bot,Jhin,1,31.283333333333335,801.1614,0.284146,0.7991,,11,,0.8947368421052632,2.3364407569683974,0.031965903036760786,17.0,410.3463,0.1598,1.8333333333333333,,
Lwx,FunPlus Phoenix,bot,Jhin,0,30.616666666666667,421.6004,0.295466,0.9145,,2,,0.5,1.8167487684729065,0.0,2.0,250.9418,0.1633,2.0,,
Lwx,FunPlus Phoenix,bot,Jhin,0,30.116666666666667,414.4549,0.244818,0.7969,,2,,0.8333333333333334,1.7138541809693808,0.0,5.0,400.9076,0.1328,0.6666666666666666,,
Lwx,FunPlus Phoenix,bot,Lucian,0,31.9,442.3197,0.25518,1.3166,,3,,0.8333333333333334,1.4411193953630885,0.09404388714733543,1.6666666666666667,451.3793,0.8464,1.5,,
Lwx,FunPlus Phoenix,bot,Zeri,1,32.083333333333336,881.7351,0.300092,2.2442,,9,,0.7727272727272727,2.200964755310044,0.031168831168831165,17.0,537.787,1.2779,1.125,,
Lwx,FunPlus Phoenix,bot,Aphelios,0,34.516666666666666,298.5225,0.187659,1.2458,,4,,0.4444444444444444,1.001652571206377,0.08691453404152584,1.3333333333333333,329.4061,0.8980999999999999,4.0,,
Lwx,FunPlus Phoenix,bot,Xayah,1,26.083333333333332,623.3482,0.344569,1.0351,,5,,0.7142857142857143,1.7073401239105324,0.0,10.0,381.6997,0.6901,1.0,,
Lwx,FunPlus Phoenix,bot,Zeri,1,27.166666666666668,771.4969,0.386928,0.8834,,2,,0.7058823529411765,1.9484056893185833,0.03680981595092024,12.0,523.0307,0.6257999999999999,0.2,,
Lwx,FunPlus Phoenix,bot,Kai'Sa,0,33.416666666666664,364.3092,0.253327,0.9875,,5,,0.7777777777777778,1.2133957938801954,0.11970074812967582,1.75,413.207,0.8678999999999999,2.5,,
Lwx,FunPlus Phoenix,bot,Xayah,1,31.483333333333334,794.1345,0.359962,1.1752,,3,,0.7692307692307693,2.052877904589868,0.06352567496029646,5.0,433.6263,0.9845999999999999,0.42857142857142855,,
Lwx,FunPlus Phoenix,bot,Xayah,0,25.6,453.8281,0.277974,1.0547,,2,,0.75,1.7173688100517368,0.15625,0.75,455.0391,0.8594,2.0,,
Lwx,FunPlus Phoenix,bot,Veigar,1,29.9,766.2207,0.319472,1.0033,,6,,0.8333333333333334,2.2126714313308864,0.0,15.0,463.7458,0.5017,0.6666666666666666,,
Lwx,FunPlus Phoenix,bot,Zeri,1,38.46666666666667,596.2305,0.347393,1.7938,,13,,0.8636363636363636,1.5957002713420998,0.025996533795493933,19.0,264.6707,0.8838,2.1666666666666665,,
Lwx,FunPlus Phoenix,bot,Veigar,0,37.81666666666667,484.4689,0.286429,1.2428,,4,,0.4166666666666667,1.9017023043388002,0.07933010136624062,1.6666666666666667,523.658,0.7934,4.0,,
Lwx,FunPlus Phoenix,bot,Jinx,0,30.45,512.5452,0.269656,1.5764,,2,,0.42857142857142855,1.7904095445680854,0.19704433497536947,0.5,524.4335,1.1823000000000001,2.0,,
Lwx,FunPlus Phoenix,bot,Aphelios,1,40.03333333333333,649.184,0.234015,1.8235,,13,,0.6,2.124499305158179,0.09991673605328893,3.75,394.9459,1.2239,6.5,,
Lwx,FunPlus Phoenix,bot,Zeri,0,25.05,388.3433,0.315837,0.8782,,1,,0.8,1.4840579710144928,0.1596806387225549,1.0,580.6786,0.5988,0.3333333333333333,,
Lwx,FunPlus Phoenix,bot,Xayah,1,27.533333333333335,595.6053,0.31953,1.8886,,8,,0.95,1.30877893056664,0.0,19.0,306.3923,1.0533,0.7272727272727273,,
Lwx,FunPlus Phoenix,bot,Xayah,0,33.88333333333333,447.5357,0.317403,1.1215,,1,,0.5,1.6180110968843364,0.08853910477127398,1.0,437.1471,0.7674000000000001,0.5,,
Lwx,FunPlus Phoenix,bot,Zeri,0,38.4,717.0313,0.319136,1.7188,,1,,0.5714285714285714,2.2233527131782944,0.13020833333333334,1.6,684.2708,0.9896,0.14285714285714285,,
Lwx,FunPlus Phoenix,bot,Zeri,1,28.616666666666667,867.3267,0.348022,1.2231,,8,,0.95,2.0350934732699244,0.034944670937682006,19.0,765.3582,0.8387,0.7272727272727273,,
