playername,teamname,position,champion,result,game_length_minutes,offense_dpm_adjusted,offense_kill_participation,offense_damage_per_gold,offense_damage_share,defense_deaths_per_min_adjusted,defense_damage_taken,defense_kda,utility_ward_score_adjusted,utility_assists,utility_assist_ratio,utility_fb_assist,macro_objective_participation_adjusted,macro_turret_plates,macro_vision_score_adjusted,multikill_score
Lwx,FunPlus Phoenix,bot,Caitlyn,0,30.6,423.582559874008,0.6666666666666666,1.4730566383856913,0.288948,0.06477503016209922,457.4183,2.0,0.5565003338132966,3,3.0,,,,0.820033533129972,
Lwx,FunPlus Phoenix,bot,Zeri,1,29.65,512.5199130898893,0.6470588235294118,1.637994780339278,0.236512,0.0,714.6712,11.0,0.7094753130631443,9,4.5,,,,1.25253347122753,
Lwx,FunPlus Phoenix,bot,Kalista,0,44.86666666666667,360.23816267662994,0.8461538461538461,1.108719723183391,0.161962,0.04417791804517614,470.5498,5.5,0.6921441595528471,5,0.8333333333333334,,,,1.2304517849008967,
Lwx,FunPlus Phoenix,bot,Zeri,0,32.88333333333333,758.7344079121277,0.8571428571428571,2.766021697796667,0.411122,0.15069305040245076,666.5383,1.2,0.7615689536721297,6,6.0,,,,1.129377884305807,
Lwx,FunPlus Phoenix,bot,Zeri,1,32.61666666666667,789.8984014228607,0.9545454545454546,2.511111111111111,0.308287,0.09115505011058826,750.6592,7.0,1.04427713405397,16,3.2,,,,1.8464304621124803,
Lwx,FunPlus Phoenix,bot,Zeri,0,30.816666666666666,356.0144361421477,0.6666666666666666,1.2149480504971513,0.326392,0.06431960810038624,613.3045,1.0,0.8126607935001732,0,0.0,,,,1.465621744279541,
Lwx,FunPlus Phoenix,bot,Sivir,1,32.85,556.9677570723882,0.7777777777777778,1.8265686373250076,0.219313,0.09050757639087835,515.6469,4.666666666666667,0.8539349856749846,10,2.5,,,,0.7027998529958462,
Lwx,FunPlus Phoenix,bot,Sivir,0,39.06666666666667,670.04623912647,0.8571428571428571,1.9212884116993707,0.315511,0.1522102671215198,854.0017,3.0,0.9231594196380788,12,2.0,,,,0.9763116495416447,
Lwx,FunPlus Phoenix,bot,Lucian,1,32.68333333333333,648.983395518801,0.75,1.8367257796802656,0.301043,0.06064607617420406,550.2499,7.5,0.7663775974206515,7,0.875,,,,1.5969074066215243,
Lwx,FunPlus Phoenix,bot,Zeri,0,25.783333333333335,227.60616829446408,0.5,1.2469453376205788,0.17125,0.23062757991780378,651.7388,0.16666666666666666,0.6217175646526226,0,0.0,,,,0.8175242505928546,
Lwx,FunPlus Phoenix,bot,Lucian,0,29.316666666666666,773.5463541590341,0.8888888888888888,2.252179140366697,0.431559,0.10141582323275795,618.8971,2.6666666666666665,0.6834284927586515,2,0.3333333333333333,,,,0.9244196866740566,
Lwx,FunPlus Phoenix,bot,Varus,0,38.166666666666664,532.7488463735795,0.625,2.2942515651678996,0.189112,0.12983292071791938,476.3319,1.0,0.577437970134985,5,5.0,,,,0.7100265867027444,
Lwx,FunPlus Phoenix,bot,Sivir,0,24.783333333333335,462.46703357751477,0.6666666666666666,2.175603217158177,0.202646,0.19994444414528267,574.7411,0.4,0.5254445096040937,1,1.0,,,,0.5264474762872341,
Lwx,FunPlus Phoenix,bot,Varus,0,31.483333333333334,659.7486673263837,0.75,3.021129860601614,0.3652,0.09443643889169996,388.7136,1.0,0.6683013009664269,3,3.0,,,,0.7651304312178429,
Lwx,FunPlus Phoenix,bot,Varus,0,41.733333333333334,1146.6977180780204,0.7692307692307693,3.783982131461391,0.415536,0.07124218572940146,387.9872,3.3333333333333335,0.6241218865268835,4,0.6666666666666666,,,,1.346882494623145,
Lwx,FunPlus Phoenix,bot,Jhin,0,33.7,550.5832887862747,0.6,1.8834613415258576,0.281552,0.05881649623027406,535.9347,1.5,0.653975549798956,1,0.5,,,,0.98283578413815,
Lwx,FunPlus Phoenix,bot,Caitlyn,0,43.46666666666667,514.2550236224462,0.9166666666666666,1.4579851286438112,0.330906,0.02280041322423584,589.2791,11.0,0.8527328247378543,5,0.8333333333333334,,,,1.3393546470117927,
Lwx,FunPlus Phoenix,bot,Lucian,0,30.283333333333335,435.2741521019605,0.42857142857142855,1.7757542810546345,0.263904,0.09817855424679209,697.9747,1.0,0.46313250102949954,2,2.0,,,,0.8949105240375557,
