league,total,partial,proportion_partial
EU CS,5060,0,0.0
EU LCS,15540,0,0.0
NA CS,4540,0,0.0
NA LCS,17360,0,0.0
WLDs,12450,410,0.03293172690763052
CBLOL,18970,0,0.0
IEM,1390,0,0.0
KeSPA,2970,0,0.0
LCK,47700,50,0.0010482180293501049
LCS,16590,50,0.0030138637733574444
LEC,18210,30,0.0016474464579901153
LMS,13300,10,0.0007518796992481203
MSI,6140,780,0.1270358306188925
OGN,3940,0,0.0
OPL,11690,10,0.000855431993156544
TCL,23570,50,0.0021213406873143827
TPL,1350,0,0.0
CK,13920,10,0.0007183908045977011
CLS,5800,0,0.0
DCup,5890,4360,0.7402376910016978
GPL,1380,0,0.0
IWCI,400,0,0.0
LCL,8970,0,0.0
LJL,19130,10,0.0005227391531625719
LJLCS,1350,0,0.0
LLN,4450,0,0.0
LPL,64440,41810,0.6488206083178151
LSPL,10270,10270,1.0
OCS,4010,0,0.0
BRCC,4240,0,0.0
CISC,1060,0,0.0
NASG,1560,0,0.0
EUM,9480,0,0.0
LCSA,16040,30,0.0018703241895261845
LDL,70810,45040,0.6360683519276938
PGN,9500,0,0.0
SLO,6360,0,0.0
TCS,970,0,0.0
UL,12680,0,0.0
VCS,23690,0,0.0
BIG,3430,0,0.0
BM,2430,0,0.0
CT,2390,0,0.0
DDH,8280,0,0.0
EBL,9790,0,0.0
GLL,10870,0,0.0
HM,9980,0,0.0
LFL,14590,0,0.0
LGL,80,0,0.0
LHE,9780,0,0.0
LLA,11530,50,0.004336513443191674
LMF,10910,0,0.0
LPLOL,11140,0,0.0
TAL,7890,10,0.0012674271229404308
UKLC,4300,0,0.0
BL,1960,0,0.0
CU,2090,0,0.0
DL,1980,0,0.0
HC,7690,0,0.0
LAS,13890,0,0.0
MSC,250,0,0.0
NEST,500,0,0.0
NEXO,9320,0,0.0
NLC,13260,0,0.0
OTBLX,3900,0,0.0
PCS,16480,0,0.0
PRM,15380,0,0.0
RCL,5510,0,0.0
Riot,200,0,0.0
UPL,10510,990,0.09419600380589914
AOL,370,0,0.0
CBLOLA,9610,0,0.0
EGL,920,0,0.0
GL,2710,0,0.0
GSG,530,0,0.0
HS,800,0,0.0
HW,2340,0,0.0
LCKC,19550,0,0.0
LCO,6910,0,0.0
LFL2,8360,10,0.0011961722488038277
LJLA,1690,0,0.0
LVP SL,11260,0,0.0
NERD,420,0,0.0
SL (LATAM),2750,0,0.0
UGP,1320,0,0.0
VL,2750,0,0.0
ASCI,1500,1500,1.0
CDF,2170,0,0.0
EBLPA,440,0,0.0
EL,1760,0,0.0
ESLOL,8330,0,0.0
GLLPA,850,0,0.0
IC,2160,0,0.0
NLC Aurora Open,2170,0,0.0
PGC,5640,0,0.0
PRMP,3250,0,0.0
USP,1060,0,0.0
AL,5260,0,0.0
EM,8930,0,0.0
EPL,2360,0,0.0
LRN,3080,0,0.0
LRS,3070,0,0.0
NACL,15180,0,0.0
AC,350,0,0.0
EWC,190,0,0.0
LIT,2370,0,0.0
TSC,1070,0,0.0
CD,1860,0,0.0
FST,350,0,0.0
HLL,1570,0,0.0
LCP,1850,0,0.0
LTA,180,0,0.0
LTA N,1210,0,0.0
LTA S,1270,0,0.0
RL,1670,0,0.0
ROL,1280,0,0.0
