year,league,split
2016,LSPL,Spring
2016,LSPL,Summer
2016,LPL,Summer
2016,DCup,
2016,LPL,Spring
2016,LPL,
2017,LSPL,Spring
2017,LPL,Spring
2017,LPL,Summer
2017,DCup,
2017,LSPL,Summer
2017,LPL,
2018,DCup,
2018,LPL,Spring
2018,LDL,Spring - S
2018,LDL,Spring - W
2018,LDL,Spring - N
2018,LDL,Spring - E
2018,LDL,Spring
2018,DCup,Summer
2018,LPL,Summer
2018,LDL,Summer - E
2018,LDL,Summer - S
2018,LDL,Summer - N
2018,LDL,Summer - W
2018,LPL,
2018,LDL,
2019,LPL,Spring
2019,LLA,Opening
2019,LCSA,Spring
2019,TCL,Winter
2019,LDL,Spring
2019,LEC,Spring
2019,TCL,
2019,LPL,Summer
2019,LDL,Summer
2019,LMS,Summer
2019,LLA,Closing
2019,LEC,Summer
2019,LCK,Summer
2019,WLDs,
2019,DCup,
2020,LPL,Spring
2020,LJL,Spring
2020,LCS,Spring
2020,LCK,Spring
2020,LCSA,Spring
2020,LDL,Spring
2020,LEC,Spring
2020,LDL,Summer
2020,LPL,Summer
2020,OPL,Split 2
2020,TCL,Summer
2020,TAL,Summer
2020,LCS,Summer
2020,CK,Summer
2020,LLA,Closing
2020,LCK,Summer
2020,LPL,
2020,DCup,
2021,LDL,Spring
2021,LPL,Spring
2021,TCL,Winter
2021,LPL,Summer
2021,LDL,Summer
2021,UPL,Summer
2021,LDL,
2021,LFL2,
2021,LPL,
2021,DCup,
2022,LPL,Spring
2022,LDL,Spring
2022,LPL,Summer
2022,LDL,Summer
2022,WLDs,
2022,ASCI,
2022,DCup,
2023,LPL,Spring
2023,LDL,Placements
2023,LDL,Split 1
2023,LDL,
2023,LDL,Split 2
2023,LPL,Summer
2023,LDL,Split 3
2023,WLDs,
2023,ASCI,
2023,DCup,
2024,DCup,
2024,LPL,Spring
2024,LDL,Placements
2024,LDL,Split 1
2024,LDL,
2024,LDL,Split 2
2024,MSI,
2024,LPL,Summer Placements
2024,LPL,Summer
2024,WLDs,
2025,LPL,Split 1
2025,LPL,Split 2 Placements
2025,LPL,Split 2
